"adj"	"grad"	"freq"
"70"	"depressed"	"GradabilityUndetermined"	0
"71"	"desperate"	"GradabilityUndetermined"	0
"72"	"different"	"GradabilityUndetermined"	0
"73"	"difficult"	"GradabilityUndetermined"	0
"74"	"disappointed"	"GradabilityUndetermined"	0
"75"	"dominant"	"GradabilityUndetermined"	0
"76"	"dramatic"	"GradabilityUndetermined"	0
"77"	"dreadful"	"GradabilityUndetermined"	0
"78"	"dry"	"GradabilityUndetermined"	0
"79"	"dull"	"GradabilityUndetermined"	0
"80"	"dumb"	"GradabilityUndetermined"	0
"81"	"early"	"GradabilityUndetermined"	0
"82"	"easy"	"GradabilityUndetermined"	0
"83"	"efficient"	"GradabilityUndetermined"	0
"84"	"embarrassed"	"GradabilityUndetermined"	0
"85"	"embarrassing"	"GradabilityUndetermined"	0
"86"	"enthusiastic"	"GradabilityUndetermined"	0
"87"	"exaggerated"	"GradabilityUndetermined"	2
"88"	"excellent"	"GradabilityUndetermined"	0
"89"	"exciting"	"GradabilityUndetermined"	0
"90"	"expensive"	"GradabilityUndetermined"	0
"91"	"extensive"	"GradabilityUndetermined"	0
"92"	"fair"	"GradabilityUndetermined"	0
"93"	"fantastic"	"GradabilityUndetermined"	0
"94"	"fast"	"GradabilityUndetermined"	0
"95"	"fat"	"GradabilityUndetermined"	0
"96"	"few"	"GradabilityUndetermined"	0
"97"	"fine"	"GradabilityUndetermined"	0
"98"	"first"	"GradabilityUndetermined"	0
"99"	"flat"	"GradabilityUndetermined"	0
"100"	"fortunate"	"GradabilityUndetermined"	0
"101"	"frail"	"GradabilityUndetermined"	2
"102"	"freaky"	"GradabilityUndetermined"	3
"103"	"free"	"GradabilityUndetermined"	0
"104"	"french"	"GradabilityUndetermined"	0
"105"	"friendly"	"GradabilityUndetermined"	0
"106"	"frustrating"	"GradabilityUndetermined"	0
"107"	"full"	"GradabilityUndetermined"	0
"108"	"funny"	"GradabilityUndetermined"	0
"109"	"furious"	"GradabilityUndetermined"	0
"110"	"genuine"	"GradabilityUndetermined"	0
"111"	"ghastly"	"GradabilityUndetermined"	0
"112"	"glad"	"GradabilityUndetermined"	0
"113"	"good"	"GradabilityUndetermined"	0
"114"	"gorgeous"	"GradabilityUndetermined"	0
"115"	"greasy"	"GradabilityUndetermined"	0
"116"	"great"	"GradabilityUndetermined"	0
"117"	"gross"	"GradabilityUndetermined"	0
"118"	"guilty"	"GradabilityUndetermined"	0
"119"	"hairy"	"GradabilityUndetermined"	7
"120"	"handy"	"GradabilityUndetermined"	0
"121"	"happy"	"GradabilityUndetermined"	0
"122"	"hard"	"GradabilityUndetermined"	0
"123"	"harsh"	"GradabilityUndetermined"	0
"124"	"healthy"	"GradabilityUndetermined"	0
"125"	"heavy"	"GradabilityUndetermined"	0
"126"	"helpful"	"GradabilityUndetermined"	0
"127"	"high"	"GradabilityUndetermined"	0
"128"	"hilarious"	"GradabilityUndetermined"	0
"129"	"honest"	"GradabilityUndetermined"	0
"130"	"hopeless"	"GradabilityUndetermined"	0
"131"	"horrible"	"GradabilityUndetermined"	0
"132"	"hot"	"GradabilityUndetermined"	0
"133"	"huge"	"GradabilityUndetermined"	0
"134"	"hungry"	"GradabilityUndetermined"	0
"135"	"ignorant"	"GradabilityUndetermined"	0
"136"	"ill"	"GradabilityUndetermined"	0
"137"	"important"	"GradabilityUndetermined"	0
"138"	"impressive"	"GradabilityUndetermined"	0
"139"	"inaccurate"	"GradabilityUndetermined"	0
"140"	"incredible"	"GradabilityUndetermined"	0
"141"	"independent"	"GradabilityUndetermined"	0
"142"	"innocent"	"GradabilityUndetermined"	0
"143"	"intellectual"	"GradabilityUndetermined"	0
"144"	"intelligent"	"GradabilityUndetermined"	0
"145"	"intense"	"GradabilityUndetermined"	0
"146"	"interested"	"GradabilityUndetermined"	0
"147"	"interesting"	"GradabilityUndetermined"	0
"148"	"intolerant"	"GradabilityUndetermined"	0
"149"	"irrelevant"	"GradabilityUndetermined"	0
"150"	"keen"	"GradabilityUndetermined"	0
"151"	"large"	"GradabilityUndetermined"	0
"152"	"last"	"GradabilityUndetermined"	0
"153"	"late"	"GradabilityUndetermined"	0
"154"	"lazy"	"GradabilityUndetermined"	0
"155"	"light"	"GradabilityUndetermined"	0
"156"	"likely"	"GradabilityUndetermined"	0
"157"	"limited"	"GradabilityUndetermined"	0
"158"	"little"	"GradabilityUndetermined"	0
"159"	"lonely"	"GradabilityUndetermined"	0
"160"	"long"	"GradabilityUndetermined"	0
"161"	"lovely"	"GradabilityUndetermined"	0
"162"	"low"	"GradabilityUndetermined"	0
"163"	"lucky"	"GradabilityUndetermined"	0
"164"	"mad"	"GradabilityUndetermined"	0
"165"	"maori"	"GradabilityUndetermined"	141
"166"	"mean"	"GradabilityUndetermined"	0
"167"	"mental"	"GradabilityUndetermined"	0
"168"	"miserable"	"GradabilityUndetermined"	4
"169"	"naive"	"GradabilityUndetermined"	0
"170"	"narrow"	"GradabilityUndetermined"	0
"171"	"nasty"	"GradabilityUndetermined"	0
"172"	"natural"	"GradabilityUndetermined"	0
"173"	"neat"	"GradabilityUndetermined"	0
"174"	"necessary"	"GradabilityUndetermined"	0
"175"	"negative"	"GradabilityUndetermined"	0
"176"	"nervous"	"GradabilityUndetermined"	0
"177"	"new"	"GradabilityUndetermined"	0
"178"	"next"	"GradabilityUndetermined"	0
"179"	"nice"	"GradabilityUndetermined"	0
"180"	"noisy"	"GradabilityUndetermined"	0
"181"	"nonrefundable"	"GradabilityUndetermined"	0
"182"	"obvious"	"GradabilityUndetermined"	0
"183"	"odd"	"GradabilityUndetermined"	0
"184"	"old"	"GradabilityUndetermined"	0
"185"	"open"	"GradabilityUndetermined"	0
"186"	"painful"	"GradabilityUndetermined"	0
"187"	"pathetic"	"GradabilityUndetermined"	0
"188"	"perfect"	"GradabilityUndetermined"	0
"189"	"personal"	"GradabilityUndetermined"	0
"190"	"plain"	"GradabilityUndetermined"	0
"191"	"pleasant"	"GradabilityUndetermined"	0
"192"	"pleased"	"GradabilityUndetermined"	0
"193"	"political"	"GradabilityUndetermined"	0
"194"	"poor"	"GradabilityUndetermined"	0
"195"	"popular"	"GradabilityUndetermined"	0
"196"	"positive"	"GradabilityUndetermined"	0
"197"	"powerful"	"GradabilityUndetermined"	0
"198"	"pretty"	"GradabilityUndetermined"	0
"199"	"profound"	"GradabilityUndetermined"	6
"200"	"proud"	"GradabilityUndetermined"	0
"201"	"quick"	"GradabilityUndetermined"	0
"202"	"quicker"	"GradabilityUndetermined"	11
"203"	"quiet"	"GradabilityUndetermined"	0
"204"	"radical"	"GradabilityUndetermined"	0
"205"	"real"	"GradabilityUndetermined"	0
"206"	"realistic"	"GradabilityUndetermined"	0
"207"	"reasonable"	"GradabilityUndetermined"	0
"208"	"relaxed"	"GradabilityUndetermined"	0
"209"	"remarkable"	"GradabilityUndetermined"	0
"210"	"rich"	"GradabilityUndetermined"	0
"211"	"ridiculous"	"GradabilityUndetermined"	0
"212"	"right"	"GradabilityUndetermined"	0
"213"	"rough"	"GradabilityUndetermined"	0
"214"	"rude"	"GradabilityUndetermined"	0
"215"	"sad"	"GradabilityUndetermined"	0
"216"	"safe"	"GradabilityUndetermined"	0
"217"	"satisfactory"	"GradabilityUndetermined"	9
"218"	"scarce"	"GradabilityUndetermined"	0
"219"	"scary"	"GradabilityUndetermined"	17
"220"	"secretive"	"GradabilityUndetermined"	2
"221"	"secure"	"GradabilityUndetermined"	0
"222"	"seedy"	"GradabilityUndetermined"	0
"223"	"sensible"	"GradabilityUndetermined"	0
"224"	"sensitive"	"GradabilityUndetermined"	0
"225"	"separate"	"GradabilityUndetermined"	0
"226"	"serious"	"GradabilityUndetermined"	0
"227"	"sharp"	"GradabilityUndetermined"	0
"228"	"short"	"GradabilityUndetermined"	0
"229"	"shy"	"GradabilityUndetermined"	4
"230"	"sick"	"GradabilityUndetermined"	0
"231"	"silly"	"GradabilityUndetermined"	0
"232"	"simple"	"GradabilityUndetermined"	0
"233"	"skilled"	"GradabilityUndetermined"	0
"234"	"slack"	"GradabilityUndetermined"	3
"235"	"slow"	"GradabilityUndetermined"	0
"236"	"small"	"GradabilityUndetermined"	0
"237"	"smart"	"GradabilityUndetermined"	0
"238"	"soft"	"GradabilityUndetermined"	0
"239"	"solid"	"GradabilityUndetermined"	0
"240"	"sore"	"GradabilityUndetermined"	0
"241"	"sorry"	"GradabilityUndetermined"	0
"242"	"special"	"GradabilityUndetermined"	0
"243"	"straight"	"GradabilityUndetermined"	0
"244"	"strange"	"GradabilityUndetermined"	0
"245"	"strong"	"GradabilityUndetermined"	0
"246"	"stubborn"	"GradabilityUndetermined"	0
"247"	"stupid"	"GradabilityUndetermined"	0
"248"	"subtle"	"GradabilityUndetermined"	0
"249"	"successful"	"GradabilityUndetermined"	0
"250"	"sure"	"GradabilityUndetermined"	0
"251"	"suspicious"	"GradabilityUndetermined"	0
"252"	"sweet"	"GradabilityUndetermined"	0
"253"	"talented"	"GradabilityUndetermined"	0
"254"	"tall"	"GradabilityUndetermined"	0
"255"	"technical"	"GradabilityUndetermined"	0
"256"	"terrible"	"GradabilityUndetermined"	0
"257"	"thick"	"GradabilityUndetermined"	0
"258"	"thin"	"GradabilityUndetermined"	0
"259"	"thorough"	"GradabilityUndetermined"	0
"260"	"tidy"	"GradabilityUndetermined"	5
"261"	"tight"	"GradabilityUndetermined"	0
"262"	"tiny"	"GradabilityUndetermined"	0
"263"	"tired"	"GradabilityUndetermined"	10
"264"	"top"	"GradabilityUndetermined"	0
"265"	"tough"	"GradabilityUndetermined"	0
"266"	"trendy"	"GradabilityUndetermined"	0
"267"	"tricky"	"GradabilityUndetermined"	0
"268"	"true"	"GradabilityUndetermined"	0
"269"	"typical"	"GradabilityUndetermined"	0
"270"	"ugly"	"GradabilityUndetermined"	0
"271"	"uncomfortable"	"GradabilityUndetermined"	5
"272"	"unfair"	"GradabilityUndetermined"	0
"273"	"unfriendly"	"GradabilityUndetermined"	0
"274"	"unhappy"	"GradabilityUndetermined"	0
"275"	"unlikely"	"GradabilityUndetermined"	0
"276"	"unrelated"	"GradabilityUndetermined"	0
"277"	"unusual"	"GradabilityUndetermined"	0
"278"	"upset"	"GradabilityUndetermined"	0
"279"	"useful"	"GradabilityUndetermined"	0
"280"	"vague"	"GradabilityUndetermined"	0
"281"	"vain"	"GradabilityUndetermined"	0
"282"	"valid"	"GradabilityUndetermined"	0
"283"	"valuable"	"GradabilityUndetermined"	0
"284"	"vicious"	"GradabilityUndetermined"	4
"285"	"violent"	"GradabilityUndetermined"	0
"286"	"visual"	"GradabilityUndetermined"	0
"287"	"vital"	"GradabilityUndetermined"	0
"288"	"vivid"	"GradabilityUndetermined"	0
"289"	"warm"	"GradabilityUndetermined"	0
"290"	"weak"	"GradabilityUndetermined"	0
"291"	"wealthy"	"GradabilityUndetermined"	0
"292"	"weird"	"GradabilityUndetermined"	0
"293"	"wet"	"GradabilityUndetermined"	0
"294"	"white"	"GradabilityUndetermined"	0
"295"	"wicked"	"GradabilityUndetermined"	0
"296"	"wide"	"GradabilityUndetermined"	0
"297"	"widespread"	"GradabilityUndetermined"	0
"298"	"windy"	"GradabilityUndetermined"	7
"299"	"witty"	"GradabilityUndetermined"	0
"300"	"wonderful"	"GradabilityUndetermined"	0
"301"	"worried"	"GradabilityUndetermined"	0
"302"	"worse"	"GradabilityUndetermined"	37
"303"	"worth"	"GradabilityUndetermined"	80
"304"	"worthwhile"	"GradabilityUndetermined"	0
"305"	"wrong"	"GradabilityUndetermined"	0
"306"	"young"	"GradabilityUndetermined"	0
"307"	"yummy"	"GradabilityUndetermined"	0
"308"	"able"	"Gradable"	0
"309"	"accurate"	"Gradable"	0
"310"	"active"	"Gradable"	0
"311"	"aggressive"	"Gradable"	0
"312"	"amazing"	"Gradable"	0
"313"	"ambitious"	"Gradable"	0
"314"	"amusing"	"Gradable"	0
"315"	"angry"	"Gradable"	31
"316"	"annoyed"	"Gradable"	0
"317"	"anti"	"Gradable"	0
"318"	"anxious"	"Gradable"	0
"319"	"arrogant"	"Gradable"	0
"320"	"artistic"	"Gradable"	5
"321"	"attractive"	"Gradable"	0
"322"	"aware"	"Gradable"	0
"323"	"awesome"	"Gradable"	0
"324"	"awful"	"Gradable"	0
"325"	"awkward"	"Gradable"	0
"326"	"bad"	"Gradable"	0
"327"	"basic"	"Gradable"	66
"328"	"battered"	"Gradable"	0
"329"	"beautiful"	"Gradable"	0
"330"	"berserk"	"Gradable"	0
"331"	"best"	"Gradable"	210
"332"	"better"	"Gradable"	0
"333"	"big"	"Gradable"	0
"334"	"bigger"	"Gradable"	0
"335"	"bizarre"	"Gradable"	0
"336"	"black"	"Gradable"	0
"337"	"bloody"	"Gradable"	0
"338"	"blue"	"Gradable"	93
"339"	"bored"	"Gradable"	0
"340"	"boring"	"Gradable"	0
"341"	"bright"	"Gradable"	0
"342"	"brilliant"	"Gradable"	0
"343"	"broke"	"Gradable"	7
"344"	"brown"	"Gradable"	48
"345"	"busy"	"Gradable"	68
"346"	"careful"	"Gradable"	35
"347"	"cheap"	"Gradable"	0
"348"	"cheeky"	"Gradable"	3
"349"	"clean"	"Gradable"	0
"350"	"clear"	"Gradable"	87
"351"	"clever"	"Gradable"	0
"352"	"close"	"Gradable"	37
"353"	"cold"	"Gradable"	0
"354"	"comfortable"	"Gradable"	0
"355"	"common"	"Gradable"	38
"356"	"competent"	"Gradable"	0
"357"	"competitive"	"Gradable"	0
"358"	"concerned"	"Gradable"	0
"359"	"confident"	"Gradable"	0
"360"	"conservative"	"Gradable"	9
"361"	"convenient"	"Gradable"	0
"362"	"convinced"	"Gradable"	0
"363"	"cool"	"Gradable"	0
"364"	"correct"	"Gradable"	0
"365"	"crappy"	"Gradable"	0
"366"	"crazy"	"Gradable"	0
"367"	"cultural"	"Gradable"	20
"368"	"curious"	"Gradable"	0
"369"	"cute"	"Gradable"	0
"370"	"dangerous"	"Gradable"	0
"371"	"dark"	"Gradable"	56
"372"	"dear"	"Gradable"	0
"373"	"decent"	"Gradable"	0
"374"	"deep"	"Gradable"	0
"375"	"definite"	"Gradable"	13
"376"	"dependent"	"Gradable"	0
"377"	"depressed"	"Gradable"	0
"378"	"desperate"	"Gradable"	0
"379"	"different"	"Gradable"	0
"380"	"difficult"	"Gradable"	72
"381"	"disappointed"	"Gradable"	0
"382"	"dominant"	"Gradable"	0
"383"	"dramatic"	"Gradable"	0
"384"	"dreadful"	"Gradable"	0
"385"	"dry"	"Gradable"	43
"386"	"dull"	"Gradable"	0
"387"	"dumb"	"Gradable"	0
"388"	"early"	"Gradable"	0
"389"	"easy"	"Gradable"	0
"390"	"efficient"	"Gradable"	0
"391"	"embarrassed"	"Gradable"	0
"392"	"embarrassing"	"Gradable"	0
"393"	"enthusiastic"	"Gradable"	0
"394"	"exaggerated"	"Gradable"	0
"395"	"excellent"	"Gradable"	0
"396"	"exciting"	"Gradable"	0
"397"	"expensive"	"Gradable"	0
"398"	"extensive"	"Gradable"	0
"399"	"fair"	"Gradable"	86
"400"	"fantastic"	"Gradable"	0
"401"	"fast"	"Gradable"	0
"402"	"fat"	"Gradable"	0
"403"	"few"	"Gradable"	415
"404"	"fine"	"Gradable"	0
"405"	"first"	"Gradable"	859
"406"	"flat"	"Gradable"	122
"407"	"fortunate"	"Gradable"	0
"408"	"frail"	"Gradable"	0
"409"	"freaky"	"Gradable"	0
"410"	"free"	"Gradable"	127
"411"	"french"	"Gradable"	28
"412"	"friendly"	"Gradable"	0
"413"	"frustrating"	"Gradable"	0
"414"	"full"	"Gradable"	0
"415"	"funny"	"Gradable"	0
"416"	"furious"	"Gradable"	0
"417"	"genuine"	"Gradable"	10
"418"	"ghastly"	"Gradable"	0
"419"	"glad"	"Gradable"	0
"420"	"good"	"Gradable"	2476
"421"	"gorgeous"	"Gradable"	0
"422"	"greasy"	"Gradable"	0
"423"	"great"	"Gradable"	0
"424"	"gross"	"Gradable"	0
"425"	"guilty"	"Gradable"	0
"426"	"hairy"	"Gradable"	0
"427"	"handy"	"Gradable"	0
"428"	"happy"	"Gradable"	0
"429"	"hard"	"Gradable"	0
"430"	"harsh"	"Gradable"	0
"431"	"healthy"	"Gradable"	19
"432"	"heavy"	"Gradable"	0
"433"	"helpful"	"Gradable"	0
"434"	"high"	"Gradable"	0
"435"	"hilarious"	"Gradable"	0
"436"	"honest"	"Gradable"	0
"437"	"hopeless"	"Gradable"	0
"438"	"horrible"	"Gradable"	0
"439"	"hot"	"Gradable"	92
"440"	"huge"	"Gradable"	0
"441"	"hungry"	"Gradable"	0
"442"	"ignorant"	"Gradable"	0
"443"	"ill"	"Gradable"	12
"444"	"important"	"Gradable"	0
"445"	"impressive"	"Gradable"	0
"446"	"inaccurate"	"Gradable"	2
"447"	"incredible"	"Gradable"	0
"448"	"independent"	"Gradable"	0
"449"	"innocent"	"Gradable"	0
"450"	"intellectual"	"Gradable"	0
"451"	"intelligent"	"Gradable"	0
"452"	"intense"	"Gradable"	0
"453"	"interested"	"Gradable"	60
"454"	"interesting"	"Gradable"	221
"455"	"intolerant"	"Gradable"	0
"456"	"irrelevant"	"Gradable"	0
"457"	"keen"	"Gradable"	0
"458"	"large"	"Gradable"	0
"459"	"last"	"Gradable"	863
"460"	"late"	"Gradable"	0
"461"	"lazy"	"Gradable"	0
"462"	"light"	"Gradable"	0
"463"	"likely"	"Gradable"	0
"464"	"limited"	"Gradable"	15
"465"	"little"	"Gradable"	0
"466"	"lonely"	"Gradable"	8
"467"	"long"	"Gradable"	0
"468"	"lovely"	"Gradable"	0
"469"	"low"	"Gradable"	0
"470"	"lucky"	"Gradable"	0
"471"	"mad"	"Gradable"	0
"472"	"maori"	"Gradable"	0
"473"	"mean"	"Gradable"	0
"474"	"mental"	"Gradable"	21
"475"	"miserable"	"Gradable"	0
"476"	"naive"	"Gradable"	0
"477"	"narrow"	"Gradable"	0
"478"	"nasty"	"Gradable"	0
"479"	"natural"	"Gradable"	0
"480"	"neat"	"Gradable"	0
"481"	"necessary"	"Gradable"	0
"482"	"negative"	"Gradable"	0
"483"	"nervous"	"Gradable"	0
"484"	"new"	"Gradable"	0
"485"	"next"	"Gradable"	615
"486"	"nice"	"Gradable"	538
"487"	"noisy"	"Gradable"	0
"488"	"nonrefundable"	"Gradable"	0
"489"	"obvious"	"Gradable"	0
"490"	"odd"	"Gradable"	0
"491"	"old"	"Gradable"	0
"492"	"open"	"Gradable"	139
"493"	"painful"	"Gradable"	0
"494"	"pathetic"	"Gradable"	0
"495"	"perfect"	"Gradable"	0
"496"	"personal"	"Gradable"	0
"497"	"plain"	"Gradable"	0
"498"	"pleasant"	"Gradable"	0
"499"	"pleased"	"Gradable"	17
"500"	"political"	"Gradable"	70
"501"	"poor"	"Gradable"	0
"502"	"popular"	"Gradable"	17
"503"	"positive"	"Gradable"	0
"504"	"powerful"	"Gradable"	0
"505"	"pretty"	"Gradable"	0
"506"	"profound"	"Gradable"	0
"507"	"proud"	"Gradable"	0
"508"	"quick"	"Gradable"	0
"509"	"quicker"	"Gradable"	0
"510"	"quiet"	"Gradable"	0
"511"	"radical"	"Gradable"	0
"512"	"real"	"Gradable"	383
"513"	"realistic"	"Gradable"	0
"514"	"reasonable"	"Gradable"	0
"515"	"relaxed"	"Gradable"	0
"516"	"remarkable"	"Gradable"	5
"517"	"rich"	"Gradable"	0
"518"	"ridiculous"	"Gradable"	0
"519"	"right"	"Gradable"	0
"520"	"rough"	"Gradable"	0
"521"	"rude"	"Gradable"	0
"522"	"sad"	"Gradable"	0
"523"	"safe"	"Gradable"	0
"524"	"satisfactory"	"Gradable"	0
"525"	"scarce"	"Gradable"	0
"526"	"scary"	"Gradable"	0
"527"	"secretive"	"Gradable"	0
"528"	"secure"	"Gradable"	0
"529"	"seedy"	"Gradable"	0
"530"	"sensible"	"Gradable"	0
"531"	"sensitive"	"Gradable"	0
"532"	"separate"	"Gradable"	0
"533"	"serious"	"Gradable"	71
"534"	"sharp"	"Gradable"	0
"535"	"short"	"Gradable"	0
"536"	"shy"	"Gradable"	0
"537"	"sick"	"Gradable"	0
"538"	"silly"	"Gradable"	0
"539"	"simple"	"Gradable"	0
"540"	"skilled"	"Gradable"	0
"541"	"slack"	"Gradable"	0
"542"	"slow"	"Gradable"	0
"543"	"small"	"Gradable"	0
"544"	"smart"	"Gradable"	0
"545"	"soft"	"Gradable"	0
"546"	"solid"	"Gradable"	0
"547"	"sore"	"Gradable"	0
"548"	"sorry"	"Gradable"	0
"549"	"special"	"Gradable"	92
"550"	"straight"	"Gradable"	33
"551"	"strange"	"Gradable"	0
"552"	"strong"	"Gradable"	0
"553"	"stubborn"	"Gradable"	0
"554"	"stupid"	"Gradable"	0
"555"	"subtle"	"Gradable"	0
"556"	"successful"	"Gradable"	0
"557"	"sure"	"Gradable"	0
"558"	"suspicious"	"Gradable"	0
"559"	"sweet"	"Gradable"	0
"560"	"talented"	"Gradable"	0
"561"	"tall"	"Gradable"	0
"562"	"technical"	"Gradable"	22
"563"	"terrible"	"Gradable"	0
"564"	"thick"	"Gradable"	0
"565"	"thin"	"Gradable"	0
"566"	"thorough"	"Gradable"	6
"567"	"tidy"	"Gradable"	0
"568"	"tight"	"Gradable"	0
"569"	"tiny"	"Gradable"	0
"570"	"tired"	"Gradable"	0
"571"	"top"	"Gradable"	0
"572"	"tough"	"Gradable"	42
"573"	"trendy"	"Gradable"	0
"574"	"tricky"	"Gradable"	0
"575"	"true"	"Gradable"	0
"576"	"typical"	"Gradable"	0
"577"	"ugly"	"Gradable"	0
"578"	"uncomfortable"	"Gradable"	0
"579"	"unfair"	"Gradable"	0
"580"	"unfriendly"	"Gradable"	0
"581"	"unhappy"	"Gradable"	0
"582"	"unlikely"	"Gradable"	12
"583"	"unrelated"	"Gradable"	0
"584"	"unusual"	"Gradable"	0
"585"	"upset"	"Gradable"	0
"586"	"useful"	"Gradable"	37
"587"	"vague"	"Gradable"	0
"588"	"vain"	"Gradable"	0
"589"	"valid"	"Gradable"	0
"590"	"valuable"	"Gradable"	0
"591"	"vicious"	"Gradable"	0
"592"	"violent"	"Gradable"	0
"593"	"visual"	"Gradable"	0
"594"	"vital"	"Gradable"	0
"595"	"vivid"	"Gradable"	0
"596"	"warm"	"Gradable"	0
"597"	"weak"	"Gradable"	0
"598"	"wealthy"	"Gradable"	0
"599"	"weird"	"Gradable"	0
"600"	"wet"	"Gradable"	0
"601"	"white"	"Gradable"	0
"602"	"wicked"	"Gradable"	0
"603"	"wide"	"Gradable"	0
"604"	"widespread"	"Gradable"	0
"605"	"windy"	"Gradable"	0
"606"	"witty"	"Gradable"	0
"607"	"wonderful"	"Gradable"	0
"608"	"worried"	"Gradable"	0
"609"	"worse"	"Gradable"	0
"610"	"worth"	"Gradable"	0
"611"	"worthwhile"	"Gradable"	0
"612"	"wrong"	"Gradable"	0
"613"	"young"	"Gradable"	0
"614"	"yummy"	"Gradable"	0
"615"	"able"	"NotGradable"	274
"616"	"accurate"	"NotGradable"	12
"617"	"active"	"NotGradable"	10
"618"	"aggressive"	"NotGradable"	3
"619"	"amazing"	"NotGradable"	124
"620"	"ambitious"	"NotGradable"	5
"621"	"amusing"	"NotGradable"	6
"622"	"angry"	"NotGradable"	0
"623"	"annoyed"	"NotGradable"	0
"624"	"anti"	"NotGradable"	0
"625"	"anxious"	"NotGradable"	8
"626"	"arrogant"	"NotGradable"	5
"627"	"artistic"	"NotGradable"	0
"628"	"attractive"	"NotGradable"	11
"629"	"aware"	"NotGradable"	53
"630"	"awesome"	"NotGradable"	48
"631"	"awful"	"NotGradable"	102
"632"	"awkward"	"NotGradable"	5
"633"	"bad"	"NotGradable"	232
"634"	"basic"	"NotGradable"	0
"635"	"battered"	"NotGradable"	7
"636"	"beautiful"	"NotGradable"	99
"637"	"berserk"	"NotGradable"	2
"638"	"best"	"NotGradable"	0
"639"	"better"	"NotGradable"	0
"640"	"big"	"NotGradable"	0
"641"	"bigger"	"NotGradable"	0
"642"	"bizarre"	"NotGradable"	19
"643"	"black"	"NotGradable"	146
"644"	"bloody"	"NotGradable"	231
"645"	"blue"	"NotGradable"	0
"646"	"bored"	"NotGradable"	10
"647"	"boring"	"NotGradable"	13
"648"	"bright"	"NotGradable"	26
"649"	"brilliant"	"NotGradable"	36
"650"	"broke"	"NotGradable"	0
"651"	"brown"	"NotGradable"	0
"652"	"busy"	"NotGradable"	0
